,image,true label,predicted label,confidence score,true confidence score,correct
0,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00002701.JPEG,n02086240,n02086240,1.0,1.0,y
1,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00003841.JPEG,n02086240,n02086240,1.0,1.0,y
2,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00004081.JPEG,n02086240,n02086240,1.0,1.0,y
3,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00010550.JPEG,n02086240,n02086240,0.9999961853027344,0.9999961853027344,y
4,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00014050.JPEG,n02086240,n02086240,1.0,1.0,y
5,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00018392.JPEG,n02086240,n02086240,1.0,1.0,y
6,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00022091.JPEG,n02086240,n02086240,1.0,1.0,y
7,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00026070.JPEG,n02086240,n02086240,1.0,1.0,y
8,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00026421.JPEG,n02086240,n02086240,1.0,1.0,y
9,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00026911.JPEG,n02086240,n02086240,0.730661928653717,0.730661928653717,y
10,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00029700.JPEG,n02086240,n02086240,0.9934334754943848,0.9934334754943848,y
11,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00031191.JPEG,n02086240,n02086240,0.9971839785575867,0.9971839785575867,y
12,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00036602.JPEG,n02086240,n02086240,1.0,1.0,y
13,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00038882.JPEG,n02086240,n02086240,1.0,1.0,y
14,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00044661.JPEG,n02086240,n02086240,1.0,1.0,y
15,/home/yi/Downloads/imagewoof2/val/n02086240/ILSVRC2012_val_00045970.JPEG,n02086240,n02086240,1.0,1.0,y
16,/home/yi/Downloads/imagewoof2/val/n02086240/n02086240_10.JPEG,n02086240,n02086240,1.0,1.0,y
17,/home/yi/Downloads/imagewoof2/val/n02086240/n02086240_1001.JPEG,n02086240,n02086240,1.0,1.0,y
